test,approach,tfft,totaltime,comp
Q1,no delay,0.4538447856903076,1.6102347373962402,2
Q2,no delay,3.0649099349975586,3.4077610969543457,5304
Q3,no delay,0.2295680046081543,0.594304084777832,1187
Q4,no delay,0.6745204925537109,24.7914981842041,173014
Q5,no delay,9.375373601913454,27.862157344818115,640
Q1,gamma 1,0.4672012329101562,2.390794277191162,2
Q2,gamma 1,2.9534013271331787,3.360966444015503,5304
Q3,gamma 1,0.2644071578979492,0.6451649665832521,1187
Q4,gamma 1,0.7137486934661865,28.798129558563232,173014
Q5,gamma 1,9.572526216506956,32.392165660858154,640
Q1,gamma 2,0.5398001670837402,2.23673939704895,2
Q2,gamma 2,3.055641889572144,3.354374885559082,5304
Q3,gamma 2,0.25231170654296875,0.7136554718017578,1187
Q4,gamma 2,0.7280030250549316,28.13428544998169,173014
Q5,gamma 2,10.04701328277588,32.87036657333374,640
Q1,gamma 3,0.5276317596435547,1.974179744720459,2
Q2,gamma 3,2.993257761001587,3.384298086166382,5304
Q3,gamma 3,0.21423697471618647,0.620988130569458,1187
Q4,gamma 3,0.8220400810241699,28.413334846496586,173014
Q5,gamma 3,11.52079701423645,32.117244720458984,640
